#flow size in KB,cdf value
0.070446828,0.077622378
0.073647176,0.000699301
0.076073788,0.095804196
0.167424663,0.097302656
0.279048635,0.094417242
0.457625483,0.192435641
0.606417092,0.279984602
0.681450019,0.340559441
1.002361677,0.403214616
1.278553374,0.444055944
1.683646739,0.478340057
1.907088257,0.551748252
2.464120915,0.594499175
3.272530042,0.651935583
4.924861005,0.709111519
8.555102515,0.758700204
10.49595163,0.803554708
17.25071376,0.890237658
31.37615698,0.907175888
57.05687997,0.91395118
103.7441862,0.914402866
188.6329867,0.914628709
342.9895536,0.915983767
623.6761707,0.91914557
1134.225245,0.929760194
2091.839256,0.986713287
3753.927086,0.98785671
