#flow size in KB,cdf value
0.071427765,0.000699301
0.072565851,0.027272727
0.108231389,0.021645229
0.167226643,0.035421656
0.336067923,0.176923077
0.40896076,0.186962353
0.53564035,0.276258191
0.851447136,0.353822737
1.402786585,0.408875749
2.552374959,0.445100976
4.64248261,0.463620108
8.443022511,0.475138104
14.24863953,0.484764665
32.43027852,0.503520931
56.62381887,0.515564013
102.9941291,0.534986516
182.4075342,0.580819108
282.0418311,0.632944691
448.0928148,0.682823387
815.0528972,0.702787914
1434.756493,0.715218316
1900.265174,0.764335664
2294.411492,0.822670252
2741.80695,0.900954449
3113.431527,0.981118881
3520.030907,0.999300699
